ID,Text
D5 - 1060,The project team maintained a collaborative and open-door communication policy.
D5 - 1061,"i dont care about replicability, just get it done"
D5 - 1062,"i dont like communicating, it's a waste of time"
D5 - 1063,The conclusion drawn from the data is valid.
D5 - 1064,"i dont like theory, just give me what works"
D5 - 1065,i rlly hate it when ppl use txt abbreviations
D5 - 1066,The rise of electric scooters is transforming urban transportation and reducing emissions.
D5 - 1067,"i dont worry about confidentiality, it's overrated"
D5 - 1068,The project team prioritized clear and concise reporting in project documentation.
D5 - 1069,The experimental design controlled for confounding variables.
D5 - 1070,"i dont use project management tools, they're too complicated"
D5 - 1071,"i dont document processes, it's too tedious"
D5 - 1072,The experiment results are statistically significant.
D5 - 1073,"i avoid conflicts, they stress me out"
D5 - 1074,"i dont care about diverse perspectives, just give me the data"
D5 - 1075,"i dont care about empirical knowledge, just give me the information"
D5 - 1076,"i dont care about best practices, they're too conventional"
D5 - 1077,"i dont like longitudinal approaches, they take too much time"
D5 - 1078,"i dont have time to review other people's work, its pointless"
D5 - 1079,"i dont have time to explain every little step, its tedious"
D5 - 1080,The conclusion summarizes the key findings of the study.
D5 - 1081,The project team embraced a culture of innovation for continuous improvement.
D5 - 1082,"i dont like motivation, it's temporary"
D5 - 1083,The project team leveraged data visualization tools for effective communication.
D5 - 1084,"i dont like using technology, it's confusing"
D5 - 1085,"i dont like theory, just give me what works"
D5 - 1086,The research design incorporated participant feedback for iterative improvements.
D5 - 1087,"i dont see the point of objectives, just give me the answer"
D5 - 1088,The project team maintained an open feedback culture for continuous improvement.
D5 - 1089,The research question is clearly defined and researchable.
D5 - 1090,"i dont manage resources, it's too much effort"
D5 - 1091,"i dont understand statistics, just give me the conclusion"
D5 - 1092,The project team demonstrated resilience in the face of unexpected challenges.
D5 - 1093,The potential of CRISPR technology in gene editing raises ethical considerations.
D5 - 1094,The professor provided constructive feedback on the paper.
D5 - 1095,"i dont understand statistics, just give me the answer"
D5 - 1096,i give up easily when things get tough
D5 - 1097,"i dont care about existing knowledge, just give me the new information"
D5 - 1098,"i dont like timelines, they stress me out"
D5 - 1099,The development of quantum encryption ensures secure communication in the digital age.
D5 - 1100,"i dont care about social media, just give me the data"
D5 - 1101,"i dont care about multi-method approaches, just give me the results"
D5 - 1102,"i dont understand variables, just give me the answer"
D5 - 1103,"i dont worry about encryption, it's overrated"
